street,state,city,post_code,safety_flag,post_code_extension,country
102-26 86th ave,NY,Richmond hill,11418,False,Not Available,US
22743 SW 88th Path,FL,Cutler Bay,33190,False,1353,US
16526 NW 90TH AVE,FL,MIAMI LAKES,33018,False,6170,US
107 Chambers St,TX,Lufkin,75901,False,3311,US
28481 N Opal Dr,AZ,San Tan Valley,85143,False,4543,US
1654 N Winstel Blvd,AZ,Tucson,85716,False,3319,US
587 E 139th St,NY,Bronx,10454,False,2355,US
2825 Riviera Dr,TX,Garland,75040,False,4261,US
836 N Clifford Ave,CA,Rialto,92376,False,4102,US
340 Quincy Ave,NY,Bronx,10465,False,3012,US
3891 West 27th Place,AZ,Yuma,85364,False,Not Available,US
13229 Alanwood Rd,CA,La Puente,91746,False,1810,US
1031 Imperial Beach Blvd,CA,Imperial Beach,91932,False,2840,US
6650 Crestwell Lane,IN,Indianapolis,46268,False,Not Available,US
5779 Burgis Ave SE,MI,Grand Rapids,49508,False,6283,US
400 Timbercreek Dr,TX,Richwood,77531,False,3244,US
4522 El Rancho Verde Dr,CA,La Palma,90623,False,2405,US
1602 S 14th St,IN,Goshen,46526,False,4548,US
7 Saint Georges Ct,CA,Trabuco Canyon,92679,False,4926,US
1092 Bear Swamp Rd,PA,East Stroudsburg,18302,False,9402,US
6617 Haverford Ave,PA,Philadelphia,19151,False,3620,US
1405 Beaver Spring St,NV,Las Vegas,89128,False,0591,US
19 Keasor Ct,NH,Laconia,03246,False,3657,US
9939 Farralone Ave,CA,Chatsworth,91311,False,2707,US
10335 San Luis Ave,CA,South Gate,90280,False,6625,US
8537 Hilltop Dr,OH,Youngstown,44514,False,Not Available,US
16920 Allen West Rd,WA,Bow,98232,False,Not Available,US
13111 165th Rd N,FL,Jupiter,33478,False,6049,US
10032 W Flavia Hvn,AZ,Tolleson,85353,False,1210,US
6 Beyrleye Ave,PA,Pittsburgh,15223,False,1407,US
100 Atlantic Ave,CA,Long Beach,90802,False,5151,US
315 N Union St,MI,Tecumseh,49286,False,1344,US
1108 Carriage Lane,IL,Schaumburg,60193,False,Not Available,US
4445 Rosebud Ln,CA,La Mesa,91941,False,6255,US
501 windover road,PA,Hatboro,19040,False,Not Available,US
2603 w 4800 s,UT,Roy,84067,False,Not Available,US
4147 Parisville Rd,MI,Ruth,48470,False,Not Available,US
213 Neptune Ln,NY,Bronx,10473,False,2462,US
209 State St,CT,Enfield,06082,False,1815,US
6372 Meldon Drive,OH,Mentor,44060,False,Not Available,US
404 S 5th St,IN,Decatur,46733,True,2270,US
72 Beaver Hill Rd,ME,Springvale,4083,False,Not Available,US
727 Rosecroft Court,MD,Forest Hill,21050,False,Not Available,US
30755 Old Stream St,MI,Southfield,48076,False,5346,US
3519 208th St,NY,Bayside,11361,False,1329,US
620 S Dubuque St,IA,Iowa City,52240,False,4245,US
13307 Graham Yarden Dr,FL,Riverview,33579,False,2389,US
9618 Stoney Glen Dr,NC,Mint Hill,28227,False,0458,US
10613 Maple Street,MS,Vancleave,39565,False,Not Available,US
620 Overlook Ter,PA,Stroudsburg,18360,False,9291,US
1631 N County Road 200 W,IN,Connersville,47331,False,Not Available,US
4235 Edgehill Dr,CA,Los Angeles,90008,False,4509,US
8201 46th Ave N Apt 209,MN,New Hope,55428,False,Not Available,US
1111 McClure Rd,IN,Columbus,47201,False,6115,US
859 State Route 88 S,NY,newark,14513,False,Not Available,US
1622 Enterprise CT,MO,Jackson,63755,False,Not Available,US
23367 Road J SW,WA,Mattawa,99349,False,9252,US
200 Rodgers Forge Road,MD,Baltimore,21212,False,Not Available,US
6271 60th Rd,NY,Maspeth,11378,False,3525,US
304 Wilson Creek Pkwy,TX,McKinney,75069,False,5372,US
2432 Beaumont Avenue,NY,Bronx,10458,False,Not Available,US
9960 Feather Sound Ct,GA,Johns Creek,30022,False,5087,US
601 Patrice Dr SE,VA,Leesburg,20175,False,8972,US
241 Old Bethalto Rd,IL,Cottage Hills,62018,False,1270,US
234 union ave,PA,oakdale,15071,False,Not Available,US
1077 Griffith Ln,CA,Brentwood,94513,False,Not Available,US
171 Briar Cir,VA,Bumpass,23024,False,3665,US
102 Michael Mitchum Way,SC,Moncks Corner,29461,False,5709,US
1593 SW 17th Ave,WA,Oak Harbor,98277,False,7112,US
2108 LANSDOWN DR,TX,carrollton,75010,False,Not Available,US
17453 NW 278th Ave,FL,Alachua,32615,False,Not Available,US
45 South 400 East,UT,Centerfield,84622,False,Not Available,US
386 monte dr,AK,Soldotna,99669,False,Not Available,US
1180 Rosecrans St,CA,San Diego,92106,False,Not Available,US
1306 Gladiola Ave,TX,Conroe,77301,False,4700,US
4 Ohara St,NJ,Edison,08837,False,2729,US
3308 Count Dr,TX,Fort Worth,76244,False,Not Available,US
6214 Bren Mar Dr,VA,Alexandria,22312,True,6407,US
3152 SW 173rd Ter,FL,Miramar,33029,False,5581,US
3308 Middlesex Dr,OH,Toledo,43606,False,1637,US
2580 Shelby Ln,IA,Palo,52324,False,4700,US
650 N Bedford Dr,AZ,Tucson,85710,False,2620,US
376 W Salisbury Rd,VT,Salisbury,05769,False,9694,US
432 Hawthorne St,TX,Houston,77006,False,4010,US
6309 Suffolk Drive,TX,Arlington,76001,False,Not Available,US
15061 Mulberry Dr,CA,Whittier,90604,False,4365,US
2003 Oak St,CA,Los Angeles,90007,False,1478,US
4600 s keating,IL,chicago,60632,False,Not Available,US
1441 7th Street South,ND,Fargo,58103,True,Not Available,US
100 Spring Valley Market Pl,NY,Spring Valley,10977,True,5222,US
25108 Marguerite Pkwy,CA,Mission Viejo,92692,False,2497,US
6 Sidney St,RI,West Warwick,2893,True,Not Available,US
8418 Wilsondale Rd,MS,Collinsville,39325,False,8956,US
908 Walnut Avenue,KS,Goodland,67735,False,Not Available,US
13342 Lasalle Blvd,MI,Huntington Woods,48070,False,1029,US
1137 North Arlington Heights Road,IL,Itasca,60143,False,Not Available,US
203 N San Dimas Canyon Rd,CA,San Dimas,91773,False,2786,US
18 Metuchen Rd,NJ,Hewitt,07421,False,1223,US
5003 Calton Ln #108,UT,South Jordan,84009,False,Not Available,US
38 Cross Street,NH,Nashua,3064,False,Not Available,US
6756 Ginafred Shores Dr SW,MI,Fife Lake,49633,False,9190,US
404 Hillen Road,MD,Towson,21286,False,Not Available,US
748 Greenview Trl NE,MS,Brookhaven,39601,False,4751,US
405 Centennial Drive,GA,Byron,31008,False,Not Available,US
75 Overbrook Ct,WY,GILLETTE,82718,False,4092,US
4842 west warner,IL,chicago,60641,True,Not Available,US
1000 Nc Music Factory,NC,Charlotte,28206,False,Not Available,US
911 Main Street.,MO,Kansas City,64105,False,Not Available,US
6756 S. Oakley Ave.,IL,Chicago,60636,True,Not Available,US
316 E Howell St,PA,Philadelphia,19120,False,1111,US
266 South Lake,GA,Thomson,30824,False,Not Available,US
835 Stockell St,TN,Nashville,37207,False,5953,US
1650 Anderson Mill Rd,GA,Austell,30106,False,Not Available,US
3009 Mallard Duck Ct,NC,Mount Holly,28120,False,9350,US
306 W. Maple St.,CO,Superior,80027,False,Not Available,US
4996 Ringwood St.,CA,Simi Valley,93063,False,Not Available,US
2104 Bagby St Apt 3219,TX,Houston,77002,False,Not Available,US
854 Banneker Pl,AL,Mobile,36617,False,2948,US
86 Chesbrough Rd,MA,West Roxbury,02132,False,3812,US
9725 Ruth Ave,MI,Allen Park,48101,False,3909,US
131 East Scribner Avenue,PA,DuBois,15801,False,Not Available,US
18764 Livingston Dr,MI,Macomb,48042,False,6223,US
4025 Huffines Boulevard,TX,Carrollton,75010,False,Not Available,US
38326 5th Pl W,CA,Palmdale,93551,False,4205,US
8610 N 91st Ave,AZ,Peoria,85345,False,8364,US
318 Gillette Blvd,TX,San Antonio,78221,False,3826,US
2931 S Main St,CA,Santa Ana,92707,False,3741,US
2008 Kintore Cir,MD,Odenton,21113,False,4627,US
818 7th St,CA,Imperial Beach,91932,False,2108,US
162 lands end ln,VA,newport news,23608,False,Not Available,US
6613 Lake Hill Dr,NC,Raleigh,27609,False,3456,US
46 Frances Drive,NY,Hopewell Junction,12533,False,Not Available,US
4355 Riolani Pl,CA,Norco,92860,False,1256,US
94 West Street,MA,Granby,1033,False,Not Available,US
406 Autumn Lake Court,GA,McDonough,30253,False,Not Available,US
125 Dundee Drive,MA,Bridgewater,2324,False,Not Available,US
89-135 Haleakala Ave,HI,Waianae,96792,False,4005,US
1286 Clear Stream Rdg,GA,Auburn,30011,False,4692,US
105 Beach 56th Pl,NY,Arverne,11692,False,1925,US
33 Washington St,OH,Canal Winchester,43110,False,1221,US
516 N. El Paso,TX,Tulia,79088,False,Not Available,US
1411 Kahoma Street,HI,Lahaina,96761,False,Not Available,US
2416 52nd Avenue Court,CO,Greeley,80634,False,Not Available,US
182 E Grand Ave,CA,Pomona,91766,False,3347,US
389 Vernon Street,CA,Oakland,94610,False,Not Available,US
1503 N Hayden Island Dr,OR,Portland,97217,False,8207,US
914 N Charles St,IL,Macomb,61455,True,Not Available,US
11804 Florence Avenue,CA,Santa Fe Springs,90670,False,Not Available,US
44 Pocono Drive,PA,Pittsburgh,15220,False,Not Available,US
639 Blue Ridge Ln,NJ,Mahwah,07430,False,3421,US
3875 Cindy Court Unit A,MD,Indian Head,20640,False,Not Available,US
9313 Leesburg Ct,TX,McKinney,75071,False,7421,US
1121 Cornell Road,PA,PITTSBURGH,15205,False,Not Available,US
8521 N Turnberry Rd,UT,Eagle Mountain,84005,False,6032,US
181 S Main St,MA,Natick,1760,False,Not Available,US
708 Prairie Creek Dr,AR,Rogers,72756,False,Not Available,US
12508 Pranav Ln,TX,Austin,78750,False,Not Available,US
5045 Philip Ave,OH,Maple Heights,44137,False,1443,US
610 S 9th St,MO,Odessa,64076,False,Not Available,US
320 7th Avenue,NY,Brooklyn,11215,False,Not Available,US
2528 John L St,MI,Port Huron,48060,False,4117,US
1514 Logan st,CO,Canon city,81212,False,Not Available,US
120 East Arrellaga Street,CA,Santa Barbara,93101,False,Not Available,US
602 Fairington Ave,IN,Lafayette,47905,False,3815,US
200 Rock Rd,CT,North Haven,06473,False,3744,US
9943 Via Leslie,CA,Santee,92071,False,Not Available,US
2418 Peach Tree La,PA,Hatfield,19440,False,Not Available,US
3409 Red Coat Dr,NY,New Windsor,12553,False,4935,US
2226 Wembley Way,TX,Rosenberg,77471,False,Not Available,US
256 Norfolk Rd,PA,Warminster,18974,False,3726,US
1901 Lemoyne St,CA,Los Angeles,90026,False,1823,US
18 Allerton Ave,NY,Middletown,10940,False,6004,US
12432 Pierce St NE,MN,Blaine,55434,False,Not Available,US
860 NW 11th Ter,FL,Stuart,34994,False,9529,US
6633 Woodman Ave,CA,Van Nuys,91401,False,1009,US
365 Woodcrest Rd,GA,Sylvester,31791,False,7763,US
1671 E Bulldog Ln,CA,Fresno,93710,False,7431,US
3403 N. Marshfield Ave.,IL,Chicago,60657,False,Not Available,US
620 Baychester Ave,NY,Bronx,10475,False,4408,US
41 Pitney Ave,NY,Staten Island,10309,False,1916,US
6046 Fauna Dr,CA,San Diego,92115,False,8247,US
2773 County Road 26,OH,Ironton,45638,False,9089,US
814 Monroe St,IL,Pawnee,62558,False,9108,US
1824 Weaver Branch Rd,TN,Piney Flats,37686,False,3726,US
4005 South Abbott Road,WA,Spokane,99224,False,Not Available,US
8482 Parkridge Dr,MI,Dexter,48130,False,Not Available,US
791 42nd Avenue,CA,San Francisco,94121,False,Not Available,US
447 N OAKHURST DR,CA,BEVERLY HILLS,90210,False,Not Available,US
10061 Signet Ci,CA,Huntington Beach,92646,True,Not Available,US
15385 N Newcomb Ave,CA,Dos Palos,93620,False,Not Available,US
647 W 4th St,CA,San Pedro,90731,False,2515,US
125 Quisenberry Lane,KY,Hopkinsville,42240,False,Not Available,US
8510 Artesian Road,CA,SAN DIEGO,92127,False,Not Available,US
732 Princeton Ln,IL,New Lenox,60451,False,3816,US
8451 Rowe Run Rd,PA,Chambersburg,17202,False,Not Available,US
2895 Wier Drive,TX,Beaumont,77706,False,Not Available,US
651 E 14th St,NY,New York,10009,False,3119,US
5212 W Cuyler Ave,IL,Chicago,60641,False,1461,US
4880 MS Highway 182,MS,Eupora,39744,False,6791,US
1838 Community Dr,TN,Knoxville,37909,False,Not Available,US
14622 thornbluff court,TX,cypress,77429,False,Not Available,US
33 Lynn Batts Ln,TX,San Antonio,78218,False,Not Available,US
100 Montgomery St,NJ,Jersey City,7302,False,Not Available,US
19176 W Woodlands Ave,AZ,Buckeye,85326,False,6041,US
3020 NW 68th St,FL,Fort Lauderdale,33309,False,1300,US
451 W Lambert Rd,CA,La Habra,90631,True,8917,US
3527 Clare Cottage Trce SW,GA,Marietta,30008,False,6084,US
1150 Darlene Lane,OR,Eugene,97401,False,Not Available,US
3146 Mckinley,MI,Dearborn,48124,False,Not Available,US
1605 SOUTH 12TH STREET,AR,FORT SMITH,72901,False,5505,US
6007 Grissom Rd,TX,San Antonio,78238,False,2228,US
36 Oakey Dr,NJ,Kendall Park,08824,False,1634,US
1000 Aspen Cir,MN,Maple Lake,55358,False,Not Available,US
7 Bell Slip,NY,Brooklyn,11222,False,6048,US
535 Lakepointe Street,MI,Grosse Pointe Park,48230,False,Not Available,US
"810 Ruud Ln, Unit 12",SD,Hartford,57033,False,Not Available,US
981A De Haro St,CA,San Francisco,94107,False,Not Available,US
1206 Malabar Rd SE,FL,Palm Bay,32907,True,2556,US
32 Horsham Pl,MA,Feeding Hills,01030,False,1814,US
11 Burgess Pl,NJ,Passaic,07055,False,8601,US
400 Longwoods Rd,NY,Buskirk,12028,False,2909,US
2640 E 65th Pl,OK,Tulsa,74136,False,Not Available,US
3051 SE Wake Rd,FL,Port Saint Lucie,34984,False,6532,US
744 85th St,FL,Miami Beach,33141,False,1144,US
7049 W Pineberry Rdg,WI,Franklin,53132,False,Not Available,US
628 Quarry Hill Rd,VT,Danby,5739,False,Not Available,US
30 NE 45th Ct,FL,Fort Lauderdale,33334,False,Not Available,US
19 Tyburn Lane,NY,South Setauket,11720,False,Not Available,US
8214 Wapati Ct,MD,Pasadena,21122,False,6819,US
3530 Mystic Pointe dr.,FL,Aventura,33180,False,Not Available,US
620 Midway Blvd,CA,Novato,94947,False,4831,US
1936 W. Sloop Ave.,CA,Anaheim,92804,False,Not Available,US
1212 S Waverly Dr,TX,Dallas,75208,False,7145,US
12 Berwyn Dr,NY,Ronkonkoma,11779,False,1923,US
2347 Kira Court,NJ,Toms River,8755,False,Not Available,US
463 S Main St,NH,Wolfeboro,03894,False,4416,US
1016 Fourth street,CA,Woodland,95695,False,Not Available,US
11588 Windcrest Ln,CA,San Diego,92128,False,Not Available,US
25-19 14th Place,NY,Astoria,11102,False,Not Available,US
3805 Horton Ave SE,MI,Grand Rapids,49548,False,3221,US
5061 Columbus St,AR,Washington,71862,False,9075,US
385 Northwest 116th Avenue,OR,Portland,97229,False,Not Available,US
575 salco road w,AL,Axis,36505,False,Not Available,US
401 S. Woodward Ave,FL,DeLand,32720,False,Not Available,US
11823 Alderhill Ter,CA,San Diego,92131,True,3867,US
7 Hart Ave,NY,Yonkers,10704,False,3676,US
1 Cherrywood Cir,NJ,Brick,08724,False,5201,US
12200 w 128th ter,KS,Overland Park,66213,False,Not Available,US
6142 Cloudy Sky Dr,TX,El Paso,79932,False,1063,US
5503 Gozum Dr,CA,Bakersfield,93313,False,9418,US
1969 Avenida Del Mexico,CA,San Diego,92154,False,1222,US
1205 NW 19th St,FL,Cape Coral,33993,False,6600,US
9863 NW 10th Ter,FL,Miami,33172,False,5737,US
114A Lamanda Ln,KY,Campbellsville,42718,False,7797,US
1513 Mithra St,LA,New Orleans,70122,False,2017,US
14751 Day Lily Ct,FL,Orlando,32824,False,6464,US
7952 Hardwood Circle,CO,Colorado Springs,80908,False,Not Available,US
17 Mill Pond Rd,NY,Port Washington,11050,False,Not Available,US
512 NE 4th Ave,OK,Durant,74701,False,5216,US
37110 Firethorn St,CA,Palmdale,93550,False,7393,US
19365 Patirene Pl,CA,Reseda,91335,False,Not Available,US
2156 Glenada Ave,CA,Montrose,91020,False,1504,US
334 Los Encinos Drive,CA,San Jose,95134,False,Not Available,US
800 Honeysuckle Dr,SD,Harrisburg,57032,False,Not Available,US
17 Eagle Rock Ave,NJ,Roseland,07068,False,1443,US
27613 NE 132nd Ave,WA,Battle Ground,98604,False,6527,US
7904 dunhill village cir apt 103,MD,Windsor mill,21244,False,Not Available,US
28 Maynard Street,MA,Orange,1364,False,Not Available,US
4784 Dryden Rd,NY,Walton,13856,False,Not Available,US
7735 NW 22nd Ave Apt 307,FL,Miami,33147,True,5621,US
237 Dubois Rockton Rd,PA,Rockton,15856,False,2505,US
7947 Hawksnest Trail,GA,Lithia Springs,30122,False,Not Available,US
39 Sharon Dr,NY,Middletown,10941,False,1612,US
1373 Sierra Drive,CA,Arroyo Grande,93420,False,Not Available,US
50 Rustic Ridge Dr,PA,Pittsburgh,15239,False,1062,US
14595 57th St N,MN,Stillwater,55082,False,Not Available,US
311 South Andrews Avenue,NC,Goldsboro,27530,False,Not Available,US
2716 Rindlewood Court,NC,Fuquay,27526,False,Not Available,US
3421 Northlake pkwy ne,GA,Atlanta,30345,False,Not Available,US
5351 Mountain Vista Dr,TX,San Antonio,78247,False,4661,US
2143 Hartland Blvd,KY,Independence,41051,False,8900,US
461 springfield ave,NJ,pennsauken,8053,False,Not Available,US
3505 Hilton Head Way,CA,Pico Rivera,90660,False,Not Available,US
107 Westside Ave,KY,Earlington,42410,False,1456,US
529 Sharon Drive,MO,Liberty,64068,False,Not Available,US
31755 Donnelly,MI,Garden City,48135,False,Not Available,US
1115 North Ave,PA,Pitcairn,15140,False,1011,US
206 Appoquin Dr S,DE,Middletown,19709,False,Not Available,US
2001 Neri Rd,TX,Granbury,76048,False,6952,US
130 Coe Ave,CT,East Haven,6512,False,Not Available,US
108 Harbin Drive,TN,Mountain City,37683,False,Not Available,US
4127 Autumn Mist St,TX,San Antonio,78253,False,5020,US
103 Pequin Court,MS,Madison,39110,False,Not Available,US
1080 Park Blvd,CA,San Diego,92101,False,Not Available,US
202 North Hills Drive,TN,McMinnville,37110,False,Not Available,US
2757 Austin Rd,NC,Peachland,28133,False,9619,US
464 Crawford st,CO,Golden,80401,True,Not Available,US
29215 Masterson Rd,MO,Cleveland,64734,False,9197,US
48 Kaladar Dr,KY,Staffordsville,41256,False,9196,US
5 Toronita Ave,MA,Worcester,01605,False,1129,US
106 BRANDY STREET,OH,SOUTH POINT,45680,False,Not Available,US
260 Elm Pl,NY,Mineola,11501,False,2911,US
3484 Carrick Cir,GA,Snellville,30039,False,8637,US
3640 Johnson Ave,NY,Bronx,10463,False,1619,US
1317 South 123rd Drive,AZ,Avondale,85323,False,Not Available,US
118 Weldon Court,PA,York,17404,False,Not Available,US
3610 W 61st St,IL,Chicago,60629,False,3922,US
6578 Cortland Ave,MI,Allen Park,48101,False,2310,US
909 Cypress St,TX,Hearne,77859,False,3048,US
702 Randolph Ave,CA,Costa Mesa,92626,False,Not Available,US
1663 Nevada Ave E,MN,Saint Paul,55106,False,1530,US
2786 Corbel Loop,FL,Kissimmee,34746,False,7701,US
315 National Drive,NC,Clayton,27527,False,Not Available,US
501 County Road 266,TX,Mico,78056,False,5027,US
10733 159th St,NY,Jamaica,11433,False,2336,US
1110 34TH DR,TX,HIDALGO,78557,False,3718,US
600 Farrar Rd,TX,Waxahachie,75165,False,8465,US
4833 N Sunrise Ave,AZ,Tucson,85705,True,1886,US
189 Ridge Rd,NJ,North Arlington,07031,False,6017,US
7652 W 29th Ln,FL,Hialeah,33018,False,5193,US
7214 Luxor St,CA,Downey,90241,False,4332,US
11022 Howard St,CA,Whittier,90606,False,1426,US
7 Sydney Circle,MA,Charlton,1507,False,Not Available,US
537 Cider Press Ct,MD,Joppa,21085,False,5414,US
2516 Cumberland St,TX,Houston,77023,False,5228,US
4008 Sharilyn Dr,MD,Abingdon,21009,False,1238,US
490 Summer Creek Dr,GA,Dallas,30157,False,7655,US
107 W 104th St Apt 5A,NY,New York,10025,False,4286,US
340 grove ave,CA,Richmond,94801,False,Not Available,US
4894 Chablis Court,CA,Oakley,94561,False,Not Available,US
8433 E Meseto Circle,AZ,Mesa,85209,False,Not Available,US
3030 S Tripp Ave,IL,Chicago,60623,False,4310,US
7610 Hollister Ave,CA,Goleta,93117,False,Not Available,US
625 S Mountain Rd,NY,Gardiner,12525,False,5013,US
3455 Mono Drive,CA,Riverside,92506,False,Not Available,US
2225 N Wright Rd,WI,Janesville,53546,False,Not Available,US
201 Commercial Ave,NJ,Palisades Park,07650,False,1179,US
5402 Birdcreek Dr,TX,Killeen,76543,False,Not Available,US
5332 HARVEST MOON CT NE,MI,Belmont,49306,False,Not Available,US
5727 SW 69th Ct.,FL,Miami,33143,False,Not Available,US
5 Terry Cir,AR,Hope,71801,False,7454,US
22 Winnie St,NY,Albany,12208,False,2012,US
119-15 203rd Street,NY,Queens,11412,False,Not Available,US
4560 River Stone Trl,GA,Douglasville,30135,False,8681,US
5081 Sugar Creek Drive,GA,Sugar Hill,30518,False,Not Available,US
7601 Knox Avenue South,MN,Minneapolis,55423,False,Not Available,US
215 Healy Ave,IL,Romeoville,60446,False,1729,US
4510 Helen Ln,NC,New Bern,28560,True,Not Available,US
1050 Kacey Drive,GA,Hinesville,31313,False,Not Available,US
3022 Dunglow Rd,MD,Dundalk,21222,False,5104,US
8255 Sunbury Ln,TX,Houston,77095,False,2941,US
712 Fox Street,NY,Bronx,10455,False,Not Available,US
1765 Brianna Ave,CA,Olivehurst,95961,False,4804,US
1738 Lexington Ave Apt 18B,NY,New York,10029,False,3558,US
1329 stalyvey ave,SC,Myrtle Beach,29577,False,Not Available,US
403 North Grove Street,AR,Hazen,72064,False,Not Available,US
5 Bernadette Way,NY,Washingtonville,10992,False,1754,US
1737 Horseshoe Circle,TX,Round Rock,78681,False,Not Available,US
1930 Cleveland Ave,MO,Kansas City,64127,False,3324,US
2920 S 33rd St,AR,Fort Smith,72903,False,4414,US
105 Christina Landing Dr Apt 1004,DE,Wilmington,19801,False,Not Available,US
155 Locust Dr,NJ,Union,07083,False,6410,US
327 Lafayette St,MA,Salem,01970,False,5486,US
640 indus rd,FL,Venice,34293,False,Not Available,US
8414 W Holly Rd,WI,Mequon,53097,False,3122,US
847 Ballard St,FL,Altamonte Springs,32701,False,5773,US
47 Millenium Loop,NY,Staten Island,10309,False,Not Available,US
2005 S 58th St,FL,Tampa,33619,False,5309,US
548 Cemetery Rd,VT,Westfield,05874,False,9609,US
1332 Martin Luther king jr dr,CA,Oxnard,93030,False,Not Available,US
204 W Clapier St,PA,Philadelphia,19144,False,Not Available,US
4930 Mount Ashmun Dr,CA,San Diego,92111,False,3930,US
813 New Loudon Road,NY,Latham,12110,False,Not Available,US
5724 Scott Cir,MA,Buzzards Bay,02542,False,1408,US
4231 Holly Ave,MO,Saint Louis,63115,False,3004,US
4220 Heatherbrooke Rd,AL,Birmingham,35242,False,5083,US
2012 Cut Crystal Ln,MI,Shelby Township,48316,False,2803,US
2800 Beech Orchard Ln,MD,Upper Marlboro,20774,False,8838,US
14881 N State Highway 137,TX,Big Lake,76932,False,8017,US
10826 W Florence Dr #103,ID,Boise,83713,False,Not Available,US
607 s washington st,IN,Kokomo,46901,False,Not Available,US
1921 Schley St,PA,Philadelphia,19145,False,5435,US
3516 Cranston Ave,DE,Wilmington,19808,True,6105,US
12700 w national ave #107,WI,new berlin,53151,False,Not Available,US
600 elmwood pl,TX,Austin,78705,False,Not Available,US
4 Surrey Ct,PA,Chambersburg,17201,False,8756,US
235 Pharr Rd NE #3408,GA,Atlanta,30305,False,Not Available,US
4831 Junius St Apt 8,TX,Dallas,75246,False,1066,US
3650 south diamond ave,FL,Inverness,34452,False,Not Available,US
3201 Norton Ave,WA,Everett,98201,False,4217,US
29 Silman Ave,LA,Hammond,70401,False,1067,US
11755 Bitola Drive,FL,Odessa,33556,False,Not Available,US
2843 N Gladstone Ave,IN,Indianapolis,46218,False,3065,US
2804 Concho Trl,TX,Fort Worth,76118,False,7393,US
4466 Tidewater Drive,FL,Orlando,32812,False,Not Available,US
855 Jefferson Ave,CA,Redwood City,94064,False,7207,US
3545 South Ocean Boulevard,FL,South Palm Beach,33480,False,Not Available,US
174 Loomis St,CT,North Granby,06060,False,1203,US
1350 azalea street olla la.71465,LA,Olla,71465,False,Not Available,US
559 Section Rd,LA,Delhi,71232,False,6505,US
8300 Sheridan Blvd,CO,Westminster,80003,False,6021,US
1205 Nicole Dr,AR,North Little Rock,72118,False,3073,US
1903 Stonington Rd,PA,Bethlehem,18018,False,Not Available,US
11137 Folkstone Dr,OK,Yukon,73099,False,8081,US
2052 Old Red Springs Rd,NC,Maxton,28364,False,8416,US
315 Pete Boatright Rd,LA,Calhoun,71225,False,8962,US
5500 Hollow Lane,CA,Greenwood,95635,False,Not Available,US
44 W Raymond Ave,NY,Roosevelt,11575,False,1014,US
1930 Flat Shoals Rd SE,GA,Atlanta,30316,False,Not Available,US
4500 Key Largo Dr,FL,Jacksonville,32218,False,6412,US
600 Knott Road,AL,Boligee,35443,False,Not Available,US
653 E 14th St Apt MF,NY,New York,10009,False,Not Available,US
2101 Waukegan Rd Ste 200,IL,Bannockburn,60015,False,1800,US
21 Helene Road,NY,Warwick,10990,False,Not Available,US
13935 Leeton Circle,VA,Chantilly,20151,False,Not Available,US
11211 Inks Cv,TX,Temple,76502,False,Not Available,US
1002 Goshen Road,FL,Tarpon Springs,34689,False,Not Available,US
28245 Avenida La Paz,CA,CATHEDRAL CITY,92234,False,Not Available,US
1419 Oakfield Ct,OK,Stillwater,74074,False,1531,US
864 Moffett Forge Road,VA,Herndon,20170,False,Not Available,US
163 La Boca Street,CA,San Jacinto,92582,False,Not Available,US
3622 ashley estates,GA,marietta,30067,False,Not Available,US
708 Sardis Dr,NC,Raleigh,27603,False,Not Available,US
2699 ZANDER TER,FL,NORTH PORT,34286,False,Not Available,US
148 Herrick Ct.,SC,Lexington,29072,False,Not Available,US
833 E 33rd St,CO,Loveland,80538,False,4726,US
4071 Gion Ave,CA,San Jose,94597,False,Not Available,US
4205 n 93 st,NE,Omaha,68134,False,Not Available,US
117 Mandy Pl NE,WA,Olympia,98516,False,Not Available,US
181 Waverly Pl,NY,New York,10014,False,0677,US
21425 timberidge st,MI,St Clair shores,48082,False,Not Available,US
8930 SE Berryton Rd,KS,Berryton,66409,False,Not Available,US
123 N Jefferson St,VA,Staunton,24401,False,3341,US
3261 E Hedges Ave,CA,Fresno,93703,False,4065,US
379 Knells Ridge Dr,VA,Chesapeake,23320,False,Not Available,US
189 Mill Creek Dr,GA,Canton,30115,False,Not Available,US
651 Busy Corner Rd,MS,Gloster,39638,False,6314,US
334V Joppa Crossing Ct,MD,Joppa,21085,False,3741,US
8385 McClellan Rd,VA,Mechanicsville,23111,False,Not Available,US
1109 Ermine Avenue,FL,Winter Springs,32708,False,Not Available,US
5986 Tetlin Field Dr.,OH,New Albany,43054,False,Not Available,US
1030-1 sue lane,NC,Shelby,28152,False,Not Available,US
1036 County Road 1754,OH,Ashland,44805,False,Not Available,US
275 Private Drive 191,OH,Proctorville,45669,False,9131,US
2016 Canyon Point Dr,NV,North Las Vegas,89031,False,Not Available,US
9853 S Ingleside Ave,IL,Chicago,60628,False,1519,US
507 Tennessee Avenue,TN,Athens,37303,False,Not Available,US
181 Richards Street Brooklyn,NY,Brooklyn,11231,False,Not Available,US
14333 Gateside Court,CA,Victorville,92394,False,Not Available,US
2746 Price Road,MD,Crofton,21114,False,Not Available,US
4019 foxridge lane,GA,Valdosta,31605,False,Not Available,US
960 Cortney Dr,IL,Carpentersville,60110,False,3109,US
261 W 35th St,NY,New York,10001,True,1902,US
4818 Legends Bay Dr,TX,Baytown,77523,False,3553,US
