,inputs.city,inputs.country,inputs.post_code,inputs.post_code_extension,inputs.safety_flag,inputs.state,inputs.street,attomdata_attom_id.row_id,attomdata_attom_id.client_id,attomdata_attom_id.attom_id,attomdata_attom_id.is_hit,attomdata_attom_id.error
6318,Macungie,US,18062,8430,False,PA,2842 Sequoia Dr,6318,,13365147,True,
6319,Mason,US,76856,2808,False,TX,619 Gooch Ave,6319,,307616479,True,
6320,Corp Christi,US,78413,Not Available,False,TX,"5500 Saratoga Blvd, Apt 174",6320,,,False,
6321,Gardena,US,90247,3523,False,CA,1130 Marine Ave,6321,,154824479,True,
6322,Houston,US,77066,Not Available,False,TX,12723 Indian Wells Dr,6322,,8572487,True,
6323,Killeen,US,76543,Not Available,False,TX,1803 Amber Road,6323,,151678706,True,
6324,Tampa,US,33618,3723,False,FL,3015 Graham Ln,6324,,163015869,True,
6325,Downers Grove,US,60516,5318,False,IL,2150 Prentiss Dr,6325,,,False,
6326,Stratford,US,79084,Not Available,False,TX,607 N Pearl,6326,,,False,
6327,MIAMI,US,33156,Not Available,False,FL,13545 SW 74TH PL,6327,,164614753,True,
6328,Martin,US,57551,Not Available,False,SD,101 3rd av,6328,,306372393,True,
6329,Sacramento,US,95823,4959,True,CA,14 Abbeywood Cir,6329,,52957988,True,
6330,Cincinnati,US,45227,Not Available,False,OH,3866 Beech St,6330,,248601039,True,
6331,Laurel,US,20707,Not Available,False,MD,1216 Westview Terrace,6331,,,False,
6332,Kings Mountain,US,28086,Not Available,False,NC,406 Scotland Drive,6332,,142847657,True,
6333,Atlanta,US,30331,9531,False,GA,2748 Bluestone Dr SW,6333,,170920137,True,
6334,Tucson,US,85715,Not Available,False,AZ,7832 E Lee St,6334,,10592193,True,
6335,Lawrenceburg,US,47025,Not Available,False,IN,1861 Wyoming court,6335,,247431647,True,
6336,Stockton,US,95219,4509,False,CA,8667 Mariners Dr,6336,,19383943,True,
6337,New Albany,US,43054,8699,True,OH,4588 Commons Park Dr,6337,,46698716,True,
6338,Woodside,US,11377,Not Available,False,NY,6019 39th Avenue,6338,,144948001,True,
6339,Deming,US,88030,3198,False,NM,1105 N Silver Ave,6339,,301735090,True,
6340,Napa,US,94558,Not Available,False,CA,3751 lassen st,6340,,157551858,True,
6341,Chicago,US,60623,4606,False,IL,3021 S Christiana Ave,6341,,,False,
6342,Santee,US,92071,Not Available,False,CA,9527 Domer Rd,6342,,53335979,True,
6343,Tucson,US,85716,2106,False,AZ,2858 E Alta Vista St,6343,,158965013,True,
6344,Seekonk,US,2771,3501,False,MA,51 Hawthorne Dr,6344,,202045800,True,
6345,Okemah,US,74859,5954,False,OK,378071 E 1010 Rd,6345,,252143838,True,
6346,Rosharon,US,77583,6370,False,TX,8445 County Road 121,6346,,167186058,True,
6347,Ostrander,US,43061,Not Available,False,OH,3766 Newhouse Road,6347,,182012805,True,
6348,Brooklyn,US,11209,5618,False,NY,8805 3rd Ave,6348,,168240879,True,
6349,Tremonton,US,84337,1026,False,UT,896 N Tremont St,6349,,308034635,True,
6350,Hammonton,US,8037,Not Available,False,NJ,713 White Horse Pike,6350,,193760141,True,
6351,Clyo,US,31303,3483,False,GA,479 Green Morgan School Rd,6351,,213209958,True,
6352,Mifflinburg,US,17844,1333,True,PA,278 Market St,6352,,306155956,True,
6353,La Mirada,US,90638,Not Available,False,CA,14577 Stage Road,6353,,,False,
6354,Lauderhill,US,33313,Not Available,False,FL,5917 NW 23rd street,6354,,,False,
6355,Jonesboro,US,71251,Not Available,False,LA,105 McDonald Street,6355,,296943620,True,
6356,Bronx,US,10452,8402,False,NY,1192 Walton Ave,6356,,20624461,True,
6357,Big Spring,US,79720,Not Available,False,TX,901 East 16th,6357,,307430528,True,
6358,West New York,US,7093,3101,False,NJ,6507 Hudson Ave,6358,,146487655,True,
6359,Allentown,US,18103,Not Available,False,PA,1840 East Susquehanna Street,6359,,178601570,True,
6360,Little Elm,US,75068,Not Available,False,TX,2209 Gulfstream Dr,6360,,217562716,True,
6361,Warren,US,48089,4701,False,MI,14932 Chesterfield Ave,6361,,18966525,True,
6362,Elmwood Park,US,7407,Not Available,False,NJ,207 Miller Ave,6362,,251501598,True,
6363,Anaheim,US,92804,3253,False,CA,621 S Dale Ave,6363,,17320366,True,
6364,Los Angeles,US,90034,6861,False,CA,3700 S Sepulveda Blvd,6364,,154540226,True,
6365,Gilbert,US,85295,0618,False,AZ,1664 S Penrose Dr,6365,,27182910,True,
6366,Port Arthur,US,77642,0419,False,TX,6119 12th St,6366,,165805903,True,
6367,Mandeville,US,70448,1022,False,LA,1373 S Ridge Dr,6367,,190919284,True,
6368,Brooklyn,US,11203,5628,False,NY,715 E 37th St,6368,,8770,True,
6369,Canton,US,30114,Not Available,False,GA,132 Holly Mill Village Dr,6369,,5050894,True,
6370,Tucson,US,85741,Not Available,False,AZ,4050 W Aerie Dr,6370,,248798660,True,
6371,Livingston,US,77351,0584,False,TX,167 Lazy Ln,6371,,145092674,True,
6372,San Diego,US,92128,6150,False,CA,18735 Caminito Cantilena,6372,,,False,
6373,Jacksonville,US,28546,8688,False,NC,504 Savannah Dr,6373,,207803521,True,
6374,Orlando,US,32810,7173,False,FL,8518 Milano Dr,6374,,,False,
6375,District Heights,US,20747,3855,False,MD,3212 Dynasty Dr,6375,,146729963,True,
6376,Norwalk,US,6851,Not Available,False,CT,346 Strawberry Hill Ave,6376,,198989834,True,
6377,Stillwater,US,55082,5653,False,MN,110 Sherburne St S,6377,,190494936,True,
6378,Union City,US,7087,Not Available,False,NJ,3312 Hudson Avenue,6378,,205865971,True,
6379,Phoenix,US,85023,Not Available,False,AZ,2056 W Shady Glen Ave,6379,,23319653,True,
6380,oviedo,US,32765,Not Available,False,FL,5277 rocking horse pl,6380,,4620488,True,
6381,Miami,US,33133,2411,False,FL,2171 SW 25th St,6381,,7630992,True,
6382,Cottonwood,US,96022,7902,False,CA,18955 Yawl Pl,6382,,146139748,True,
6383,Glen Burnie,US,21060,Not Available,False,MD,7834 Shellye Rd,6383,,17846078,True,
6384,Smyrna,US,30080,3681,False,GA,1529 Spring St SE,6384,,252042587,True,
6385,Terrebonne,US,97760,9241,False,OR,14445 SW Chickadee Rd,6385,,215725655,True,
6386,derry,US,3038,Not Available,False,NH,48 Redfield Circle,6386,,,False,
6387,rowlett,US,75089,Not Available,False,TX,6405 fairfield dr,6387,,44554385,True,
6388,Avon,US,46123,6981,False,IN,8123 Oriole Point Dr,6388,,201938559,True,
6389,Annapolis,US,21403,4243,False,MD,2646 Ogleton Rd,6389,,39346783,True,
6390,Sheridan,US,82801,4535,False,WY,1910 Sparrowhawk Road,6390,,310679249,True,
6391,Elk Grove,US,95624,4528,False,CA,8576 Alissa Way,6391,,40575333,True,
6392,PORT JEFFERSON STATION,US,11776,Not Available,True,NY,218 Chestnut St,6392,,1119397,True,
6393,Roseville,US,95747,Not Available,False,CA,1403 Orwell Dr,6393,,7863148,True,
6394,Mastic,US,11950,Not Available,False,NY,56 Burney Blvd,6394,,14719686,True,
6395,Houston,US,77088,3702,False,TX,946 W Bertrand St,6395,,165811632,True,
6396,Framingham,US,1702,8946,False,MA,1296 Worcester Rd,6396,,143692327,True,
6397,Ridgecrest,US,93555,Not Available,True,CA,1268 Palo verde dr,6397,,52179612,True,
6398,Ferndale,US,48220,3013,False,MI,2105 Symes St,6398,,144482134,True,
6399,Clarksdale,US,38614,6314,False,MS,350 S State St,6399,,298423650,True,
6400,Elizabeth,US,7208,1315,False,NJ,155 Morristown Rd,6400,,,False,
6401,Camilla,US,31730,Not Available,False,GA,10 Pine Hill Circle,6401,,,False,
6402,Queens,US,11374,Not Available,False,NY,6433 99th Street,6402,,169755446,True,
6403,Whittier,US,90606,Not Available,True,CA,12536 McGee dr,6403,,18741308,True,
6404,Dunedin,US,34698,7133,False,FL,634 Wood St,6404,,141952902,True,
6405,littleton,US,80127,Not Available,False,CO,11132 main range trail,6405,,,False,
6406,Brooklyn,US,11210,2311,False,NY,36 Kenilworth Pl,6406,,168147405,True,
6407,Orange,US,92869,Not Available,False,CA,10292 Randall St,6407,,147915153,True,
6408,Chatham,US,62629,Not Available,False,IL,23 Birch Drive,6408,,213493018,True,
6409,Dallas,US,75240,Not Available,False,TX,13290 Noel Rd,6409,,,False,
6410,new lenox,US,60451,Not Available,False,IL,200 fox hill unit a,6410,,,False,
6411,Orlando,US,32808,1730,False,FL,5005 Bermuda Cir,6411,,,False,
6412,Blue Springs,US,64015,Not Available,False,MO,809 Northwest Springwood Drive,6412,,203612707,True,
6413,Middletown,US,7748,3262,False,NJ,10 Cardinal Rd,6413,,197490598,True,
6414,Port Chester,US,10573,Not Available,False,NY,11 Nella Lane,6414,,155450718,True,
6415,Sarasota,US,34243,Not Available,False,FL,6348 Ravenwood Way,6415,,18028777,True,
6416,Williams Bay,US,53191,9680,True,WI,420 Smythe Dr,6416,,145524816,True,
6417,Sioux Falls,US,57106,Not Available,False,SD,7808 W Waterford St,6417,,306690893,True,
6418,West Milton,US,45383,Not Available,False,OH,9385 W Pearson Rd,6418,,183314866,True,
6419,Leaf River,US,61047,Not Available,False,IL,10762 N Pecatonica Rd,6419,,141722811,True,
6420,Dayton,US,89403,7429,False,NV,207 Red Wing Dr,6420,,19791483,True,
6421,Glen Allen,US,23060,Not Available,True,VA,1009 Connecticut Ave,6421,,44419594,True,
6422,Indialantic,US,32903,4523,False,FL,1955 Shore View Dr,6422,,160067921,True,
6423,Queens,US,11412,Not Available,False,NY,187-25 Linden Boulevard,6423,,,False,
6424,Statesville,US,28625,Not Available,False,NC,542 Island Ford Road,6424,,177672322,True,
6425,Floresville,US,78114,4181,False,TX,1101 County Road 134,6425,,164969703,True,
6426,mchenry,US,60051,Not Available,False,IL,1816 redwood lane,6426,,147812713,True,
6427,Chino Hills,US,91709,7876,False,CA,5058 Stone Ridge Dr,6427,,158092018,True,
6428,Covington,US,30016,Not Available,False,GA,205 Silver Ridge Rd,6428,,326418306,True,
6429,Louisville,US,40272,4931,False,KY,5418 Logwood Ave,6429,,7496922,True,
6430,Fort Walton Beach,US,32547,Not Available,False,FL,2 Tooke Street,6430,,324555778,True,
6431,Chicago,US,60647,Not Available,False,IL,2730 N Richmond St,6431,,,False,
6432,Mays Landing,US,8330,5604,False,NJ,525 Pelican Ln,6432,,,False,
6433,Axtell,US,68924,3635,False,NE,1271 22 Rd,6433,,301309026,True,
6434,Pelzer,US,29669,Not Available,False,SC,1 Tasha Dr,6434,,54002396,True,
6435,Scottsdale,US,85260,3723,False,AZ,14015 N 94th St,6435,,158824068,True,
6436,Trion,US,30753,Not Available,False,GA,1576 Old Highway 27,6436,,,False,
6437,Clarksville,US,37043,Not Available,False,TN,1410 Brew Moss Drive,6437,,249606906,True,
6438,La Verne,US,91750,4001,False,CA,1950 9th St,6438,,18976709,True,
6439,Laredo,US,78046,5907,False,TX,1311 Truman Ln,6439,,164982894,True,
6440,East Hartford,US,6118,Not Available,False,CT,213 Silver Lane,6440,,191141234,True,
6441,Wyoming,US,52362,Not Available,False,IA,7131 75th St,6441,,239201840,True,
6442,Woodbridge,US,22193,Not Available,False,VA,4149 Waynesboro ct,6442,,13600924,True,
6443,Arden,US,28704,Not Available,False,NC,28 Mallard Run Drive,6443,,317007717,True,
6444,Buras,US,70041,4012,False,LA,41086 Highway 23,6444,,297067949,True,
6445,Loudon,US,3307,0842,False,NH,142 S Village Rd,6445,,203171031,True,
6446,Harrisburg,US,28075,9647,False,NC,8430 Chestnut Oak Ct,6446,,29773353,True,
6447,Shannock,US,2875,1009,True,RI,9 W Shannock Rd,6447,,,False,
6448,Wrentham,US,2093,Not Available,False,MA,15 Wisteria Way,6448,,189970868,True,
6449,Doral,US,33166,Not Available,False,FL,8027 Lake Dr,6449,,,False,
6450,El Paso,US,79936,Not Available,False,TX,1904 Pointe East Lane,6450,,,False,
6451,Miami,US,33156,3164,False,FL,9357 SW 77th Ave,6451,,,False,
6452,Mission,US,78572,Not Available,False,TX,4308 Sunny Haven,6452,,166531705,True,
6453,Washington,US,20009,1305,False,DC,2015 Columbia Rd NW,6453,,,False,
6454,Windsor,US,80550,Not Available,False,CO,116 Cobble Drive,6454,,21015081,True,
6455,Hackensack,US,7601,1756,False,NJ,230 Polifly Rd,6455,,32625065,True,
6456,Sahuarita,US,85629,Not Available,True,AZ,1725 West Placita Del Zocalo,6456,,15975237,True,
6457,Indianapolis,US,46235,1167,False,IN,9612 Pepperidge Dr,6457,,42523753,True,
6458,Anaheim,US,92802,4132,False,CA,2001 S Haster St,6458,,155758627,True,
6459,Kew Gardens,US,11415,Not Available,False,NY,85-25 120th street,6459,,,False,
6460,Covina,US,91724,1443,False,CA,21042 E Arrow Hwy,6460,,154964995,True,
6461,Bayonne,US,7002,Not Available,False,NJ,6 Pointview Ter,6461,,,False,
6462,San Marcos,US,78666,6789,False,TX,345 Champion Blvd Apt 828,6462,,,False,
6463,LAS VEGAS,US,89110,Not Available,False,NV,5255 JEFF DR,6463,,1069578,True,
6464,Riverside,US,92508,Not Available,False,CA,19555 John F Kennedy dr,6464,,16431796,True,
6465,Modesto,US,95358,Not Available,False,CA,1537 Glenn Avenue,6465,,19566491,True,
6466,Auburn,US,98092,Not Available,False,WA,6136 Isaac Avenue Southeast,6466,,,False,
6467,Mount Pleasant,US,75455,4101,False,TX,101 Denman Dr,6467,,214264439,True,
6468,Fort Pierce,US,34946,8911,False,FL,2471 Skylock Ct,6468,,,False,
6469,Albert Lea,US,56007,3336,False,MN,2405 Forest Ave,6469,,297661969,True,
6470,Lompoc,US,93436,3824,False,CA,1528 W Oak Ave,6470,,18244987,True,
6471,Danielson,US,6239,1918,False,CT,172 Mechanic St,6471,,29663028,True,
6472,Midlothian,US,60445,3344,False,IL,14924 Terrace Ln,6472,,69566,True,
6473,El Paso,US,79924,3815,False,TX,10044 Keystone Dr,6473,,10262360,True,
6474,Dallas,US,75232,3003,False,TX,1421 Acapulco Dr,6474,,33401550,True,
6475,Lake Jackson,US,77566,6008,False,TX,110 Flag Dr W,6475,,165058531,True,
6476,Oxnard,US,93036,8224,False,CA,2028 Veracruz Ln,6476,,16895854,True,
6477,Coral Springs,US,33076,2532,False,FL,9877 Westview Dr Apt 611,6477,,,False,
6478,Chino Hills,US,91709,Not Available,False,CA,2322 Brown Deer Ct,6478,,143995438,True,
6479,Daly City,US,94014,1600,False,CA,174 Linda Vista Dr,6479,,156198432,True,
6480,Edinburg,US,78542,2774,False,TX,2611 Aggie Dr,6480,,,False,
6481,Orlando,US,32837,8017,False,FL,13625 Hawkeye Dr,6481,,,False,
6482,San Jose,US,95122,Not Available,False,CA,1450 Adrian Way,6482,,26963029,True,
6483,Greeley,US,80631,2095,False,CO,105 Eklund Way,6483,,27501933,True,
6484,Lake Stevens,US,98258,Not Available,False,WA,1827 94th Drive Southeast,6484,,148029027,True,
6485,Lansdale,US,19446,Not Available,False,PA,101 Weymouth Cir,6485,,179673258,True,
6486,Glenn Dale,US,20769,9177,False,MD,12303 Justice Pl,6486,,27496902,True,
6487,Brownsburg,US,46112,Not Available,False,IN,1481 Audubon Dr,6487,,189046319,True,
6488,Tucson,US,85710,6333,True,AZ,7608 E Morelos Pl,6488,,54799759,True,
6489,Lexington,US,27292,9364,False,NC,155 Norma Dr,6489,,177711613,True,
6490,Ashland,US,41101,6803,False,KY,4662 Canterbury Ct,6490,,295514137,True,
6491,Eugene,US,97404,Not Available,False,OR,2791 Alyndale Dr,6491,,202286572,True,
6492,Middletown,US,10940,6645,False,NY,336 Concord Ln,6492,,140859524,True,
6493,Washoe Valley,US,89704,9197,False,NV,3485 Clark Dr,6493,,147917341,True,
6494,Colorado Springs,US,80921,Not Available,False,CO,11758 Spectacular Bid Cir.,6494,,314995587,True,
6495,Brazil,US,47834,8952,False,IN,4850 N Miami Gardens St,6495,,147974647,True,
6496,West Jordan,US,84081,Not Available,False,UT,5674 W 6655 S,6496,,142325820,True,
6497,north haledon,US,7508,Not Available,False,NJ,7 peach tree lane,6497,,7791850,True,
6498,Fairfield,US,94534,9541,False,CA,501 Red Top Rd,6498,,,False,
6499,Pittsburgh,US,15217,Not Available,False,PA,6442 Forward Ave.,6499,,,False,
6500,Mc Connellsburg,US,17233,1156,False,PA,202 E Walnut St,6500,,305677283,True,
6501,Fairburn,US,30213,Not Available,False,GA,7624 Rutgers circle,6501,,,False,
6502,Fayetteville,US,28314,0443,False,NC,6570 Lexi Ln Apt 102,6502,,,False,
6503,Seekonk,US,2771,1413,False,MA,610 Read St,6503,,251113673,True,
6504,Carmichael,US,95608,Not Available,False,CA,6445,6504,,155869479,True,
6505,La Mesa,US,91942,8940,False,CA,7000 Saranac St,6505,,,False,
6506,Middlesex,US,27557,Not Available,False,NC,10288 Claude Lewis Road,6506,,212524823,True,
6507,Castle Rock,US,80104,Not Available,False,CO,920 Park View Street,6507,,18217088,True,
6508,Greenbelt,US,20770,Not Available,False,MD,5801 cherrywood terrace,6508,,,False,
6509,San Antonio,US,78223,5112,False,TX,9790 Old Corpus Christi Hwy,6509,,24911350,True,
6510,Tampa,US,33634,Not Available,False,FL,4512 Golfwood Blvd,6510,,51509738,True,
6511,Ozone Park,US,11417,Not Available,False,NY,103-15 97TH STREET,6511,,,False,
6512,LOUISVILLE,US,40216,Not Available,False,KY,2256 CRUMS LN,6512,,206004753,True,
6513,Rocky Mount,US,27801,6104,False,NC,728 N Glendale Dr,6513,,,False,
6514,Culver City,US,90230,4910,True,CA,11051 Ocean Dr,6514,,154525727,True,
6515,West Chazy,US,12992,Not Available,False,NY,257 Recore Rd,6515,,240370510,True,
6516,Medford,US,11763,Not Available,False,NY,2810 Falcon Avenue,6516,,4374917,True,
6517,Los Angeles,US,90029,Not Available,False,CA,4585 Lexington Ave,6517,,154770398,True,
6518,Clearwater,US,33759,1019,False,FL,2692 Enterprise Rd E Apt 1903,6518,,,False,
6519,Nahant,US,1908,Not Available,False,MA,217 nahant road,6519,,192244785,True,
6520,Dekalb,US,60115,Not Available,False,IL,3236 napa ct,6520,,31460392,True,
6521,Corpus Christi,US,78415,Not Available,False,TX,5038 Kasper St,6521,,166054748,True,
6522,Matthews,US,28105,Not Available,False,NC,507 Clearbrook Rd,6522,,8620212,True,
6523,Minneapolis,US,55408,Not Available,False,MN,3233 2nd Avenue South,6523,,7195567,True,
6524,San Luis Obispo,US,93401,Not Available,False,CA,2933 Augusta St,6524,,156030643,True,
6525,Hudson,US,3051,Not Available,False,NH,21B Clearview Circle,6525,,,False,
6526,Twentynine Palms,US,92277,Not Available,False,CA,6567B Jasmine dr.,6526,,,False,
6527,Olympia,US,98513,Not Available,False,WA,5614 Vincent Ct SE,6527,,186028815,True,
6528,Eastport,US,11941,1322,False,NY,374 Montauk Hwy,6528,,170034110,True,
6529,Cedar Springs,US,49319,8458,False,MI,2140 17 Mile Rd NE,6529,,156105150,True,
6530,Stratford,US,50249,7443,False,IA,1024 Teneyck Ave,6530,,,False,
6531,Rensselaer,US,12144,Not Available,False,NY,37 Fox Hollow Dr,6531,,,False,
6532,North Royalton,US,44133,Not Available,False,OH,9361 Royal Valley Drive,6532,,42816417,True,
6533,Burbank,US,91501,Not Available,False,CA,619 E Olive ave,6533,,9321600,True,
6534,Bountiful,US,84010,4537,True,UT,350 E 1300 N,6534,,183705510,True,
6535,Lutz,US,33558,Not Available,False,FL,5503 cumberland star ct,6535,,324380336,True,
6536,Granby,US,80446,Not Available,False,CO,42 Gcr 8952,6536,,,False,
6537,NORTH ATTLEBORO,US,2760,Not Available,False,MA,317 Chestnut St,6537,,246184696,True,
6538,Bradford,US,16701,2831,False,PA,197 Gates Holw,6538,,,False,
6539,Puyallup,US,98373,2593,False,WA,8301 133rd St E,6539,,13906101,True,
6540,Gibsonia,US,15044,Not Available,False,PA,5733 Wesleyann Drive,6540,,178254686,True,
6541,Tucson,US,85745,Not Available,False,AZ,3958 W Sweetwater Dr,6541,,52466428,True,
6542,Philadelphia,US,19145,Not Available,False,PA,1833 S 16 St,6542,,179681017,True,
6543,Athens,US,30607,Not Available,False,GA,192 Harris Hills Dr,6543,,14013671,True,
6544,Oakland,US,94602,3211,False,CA,3089 MacArthur Blvd,6544,,,False,
6545,Englewood Cliffs,US,7632,Not Available,False,NJ,19 Carol Drive,6545,,48478556,True,
6546,Westminster,US,21157,4597,False,MD,324 Montpelier Ct,6546,,42082314,True,
6547,Pittsburgh,US,15220,4927,False,PA,1016 Steuben St,6547,,25110269,True,
6548,Sebring,US,33870,1450,False,FL,101 Spring Garden Rd,6548,,160916885,True,
6549,Hendersonville,US,37075,Not Available,False,TN,111 Red Bud Drive,6549,,41652746,True,
6550,Camden,US,71701,Not Available,False,AR,464 Berg Avenue,6550,,291259477,True,
6551,Dallas,US,30132,0933,True,GA,1300 Merchants Dr Apt N75,6551,,,False,
6552,Carteret,US,7008,1812,False,NJ,15 Swarthmore Dr,6552,,50322602,True,
6553,Jersey City,US,7305,3613,False,NJ,77 Orient Ave,6553,,19306984,True,
6554,Aldie,US,20105,3435,False,VA,41889 Precious Sq,6554,,11713219,True,
6555,Dushore,US,18614,7511,False,PA,415 Gainer Hill Rd,6555,,306107261,True,
6556,Rexburg,US,83440,Not Available,False,ID,387 Airport Road,6556,,292454365,True,
6557,Petersburg,US,49270,Not Available,False,MI,6525 Bacon Road,6557,,151528204,True,
6558,Hicksville,US,43526,1028,True,OH,106 W Cornelia St,6558,,214913727,True,
6559,Grandview,US,76050,Not Available,False,TX,7256 County Road 308,6559,,167109351,True,
6560,New York,US,10029,Not Available,False,NY,1385 5th Avenue,6560,,,False,
6561,Lake Worth,US,33460,6209,False,FL,201 Fordham Dr,6561,,,False,
6562,Kenner,US,70065,3619,False,LA,3222 California Ave,6562,,190542055,True,
6563,Milford,US,6460,Not Available,False,CT,41 Watrous Ln,6563,,200512968,True,
6564,Ashland,US,44805,Not Available,False,OH,891 County Road 1904,6564,,237079396,True,
6565,Garden City,US,64747,8916,False,MO,24201 S Old Drum Rd,6565,,212705926,True,
6566,Dana Point,US,92629,Not Available,False,CA,33771 Bayside Lane,6566,,,False,
6567,El Mirage,US,85335,2351,False,AZ,12123 W Scotts Dr,6567,,9840965,True,
6568,Clarissa,US,56440,1277,False,MN,110 Leslie Ave W,6568,,302180315,True,
6569,Knoxville,US,37902,Not Available,False,TN,200 W Jackson Ave. #607,6569,,,False,
6570,Lufkin,US,75904,6477,False,TX,4980 State Highway 103 W,6570,,,False,
6571,Lake Zurich,US,60047,Not Available,False,IL,950 Cedar Creek Dr,6571,,175600716,True,
6572,Inverness,US,34452,Not Available,False,FL,418 Camellia Avenue,6572,,,False,
6573,Bronx,US,10464,Not Available,False,NY,60 Tier Street,6573,,53376641,True,
6574,Pittsburgh,US,15206,4203,False,PA,424 Emerson St,6574,,37312521,True,
6575,Hercules,US,94547,1543,False,CA,157 Bluebird Ct,6575,,11232549,True,
6576,Hialeah,US,33015,7927,False,FL,6751 NW 182nd St,6576,,,False,
6577,Norwalk,US,90650,Not Available,False,CA,13019 Gridley Rd.,6577,,52185555,True,
6578,Glendora,US,91740,5208,False,CA,538 Crown St,6578,,149578158,True,
6579,Pittsburg,US,94565,2421,True,CA,2072 Newport Dr,6579,,14081767,True,
6580,Germantown,US,38138,7051,False,TN,7682 Foster Ridge Rd,6580,,143242822,True,
6581,Oxford,US,38655,8550,False,MS,311 Thacker Loop,6581,,210873827,True,
6582,Rancho Cordova,US,95670,Not Available,False,CA,3300 Capital Center Drive,6582,,157837658,True,
6583,Brooklyn,US,11221,4641,False,NY,415 Evergreen Ave,6583,,1820003,True,
6584,Elizabeth,US,7208,2115,False,NJ,107 Parker Rd,6584,,,False,
6585,Keene,US,3431,Not Available,False,NH,20 Hillside Ave,6585,,323765826,True,
6586,Silver Spring,US,20910,2701,False,MD,1420 Spring St,6586,,38215545,True,
6587,Elmwood,US,7407,Not Available,False,NJ,225 River Dr,6587,,37385537,True,
6588,Yonkers,US,10710,4301,False,NY,22 Middlesex Ln,6588,,51346429,True,
6589,Pittsburgh,US,15225,1311,False,PA,222 Phillips Ave,6589,,,False,
6590,Los Angeles,US,90007,Not Available,False,CA,1230 W 29th St,6590,,,False,
6591,Westland,US,48185,Not Available,False,MI,39166 Hayward Dr,6591,,12059114,True,
6592,Pensacola,US,32534,1178,False,FL,3780 Ashland Ave,6592,,160639401,True,
6593,Athens,US,75751,2910,True,TX,811 Humphrey St,6593,,167663810,True,
6594,Jackson,US,8527,Not Available,False,NJ,247 Leesville Road,6594,,153500295,True,
6595,Whitman,US,2382,Not Available,True,MA,137 Whidden Ave,6595,,195078871,True,
6596,Peoria,US,61615,Not Available,False,IL,5607 Stonewood Ct,6596,,39265104,True,
6597,Woodridge,US,60517,Not Available,False,IL,6520 Double Eagle Drive,6597,,,False,
6598,Middle Village,US,11379,Not Available,False,NY,8424 Eliot Ave,6598,,146208368,True,
6599,Carlsbad,US,92010,5529,False,CA,3525 Glen Ave,6599,,157999637,True,
6600,Sun Prairie,US,53590,Not Available,False,WI,3061 Pleasant St,6600,,193485842,True,
6601,Wildwood,US,63038,Not Available,False,MO,17715 Vintage Oak Dr,6601,,48137729,True,
6602,Orlando,US,32835,Not Available,False,FL,6332 raliegh street,6602,,,False,
6603,Marshfield,US,2050,Not Available,False,MA,34 Liberty Road,6603,,194271324,True,
6604,O Fallon,US,63366,3725,False,MO,1279 Wagon Wheel Trl,6604,,,False,
6605,Montrose,US,91020,2101,False,CA,2215 3/4 Florencita Ave,6605,,154808113,True,
6606,West Babylon,US,11704,3009,False,NY,340 Throop St,6606,,148142015,True,
6607,El Paso,US,79912,5226,False,TX,6000 Isabella Dr,6607,,7591513,True,
6608,Wink,US,79789,Not Available,False,TX,210 NE 8th St,6608,,,False,
6609,Brownsburg,US,46112,Not Available,False,IN,303 W Tilden Dr,6609,,193896457,True,
6610,Monroe,US,10950,Not Available,False,NY,121 N Main St,6610,,169692658,True,
6611,New York,US,10031,Not Available,False,NY,526 west 146th street,6611,,,False,
6612,Marina Del Rey,US,90292,Not Available,False,CA,3400 Pacific Avenue,6612,,,False,
6613,West Chester,US,19382,7259,False,PA,1 Piedmont Rd,6613,,178291984,True,
6614,Valley Village,US,91607,Not Available,False,CA,5329 Agnes ave apt 4,6614,,,False,
6615,Hazel Green,US,35750,9584,False,AL,118 Sweetwater Dr,6615,,198522482,True,
6616,Burtonsville,US,20866,2051,False,MD,3834 Water Drop Ct,6616,,10782278,True,
6617,Coral Springs,US,33071,7153,False,FL,8231 NW 8th Pl,6617,,160613591,True,
6618,Brooklyn,US,11249,6057,False,NY,105 S 8th St,6618,,168449006,True,
6619,Davie,US,33317,Not Available,False,FL,2102 Southwest 72nd Avenue,6619,,49406875,True,
6620,Lake Villa,US,60046,9727,False,IL,25240 W Lehmann Blvd,6620,,7679022,True,
6621,Wellington,US,33414,Not Available,False,FL,11175 Winding Pearl Way,6621,,3533046,True,
6622,Lancaster,US,93536,3030,False,CA,5059 W Avenue M4,6622,,140141897,True,
6623,Sachse,US,75048,5523,False,TX,6515 Fieldcrest Ln,6623,,36510783,True,
6624,Congers,US,10920,2810,False,NY,25 Ridge Rd,6624,,143277978,True,
6625,Valrico,US,33596,6912,False,FL,3713 Casaba Loop,6625,,34417530,True,
6626,Altoona,US,50009,Not Available,False,IA,2283 3RD AVE SW,6626,,249337499,True,
6627,Church Rock,US,87311,Not Available,False,NM,02 Telstar rd,6627,,,False,
6628,Des Moines,US,50317,Not Available,False,IA,4137 East 24th Street,6628,,8287570,True,
6629,Aptos,US,95003,4371,False,CA,151 Canterbury Dr,6629,,,False,
6630,Tacoma,US,98409,Not Available,False,WA,3501,6630,,,False,
6631,Van Nuys,US,91401,1803,True,CA,6552 Nagle Ave,6631,,1910518,True,
